id,estado,nombres,apellidos,identificacion,lugar_expedicion,telefono,celular,correo,tarjeta_profesional,tipo_documento_id_id
1,1,roberto,pruebas,12345,bogota,,23112879,ka@igc.edu.co,432432h,1
3,1,roberto,pruebas,12345,bogota,,23112879,ka@igc.edu.co,432432h,1
4,1,roberto,pruebas,12345,bogota,,23112879,ka@igc.edu.co,432432h,1
5,1,roberto,pruebas,12345,bogota,,23112879,ka@igc.edu.co,432432h,1
6,1,roberto,pruebas,12345,bogota,,23112879,ka@igc.edu.co,432432h,1
7,1,roberto,pruebas,12345,bogota,,23112879,ka@igc.edu.co,432432h,1
8,1,roberto,pruebas,12345,bogota,,23112879,ka@igc.edu.co,432432h,1
9,1,roberto,pruebas,12345,bogota,,23112879,ka@igc.edu.co,432432h,1
10,1,roberto,pruebas,12345,bogota,,23112879,ka@igc.edu.co,432432h,1
11,1,roberto,pruebas,12345,bogota,,23112879,ka@igc.edu.co,432432h,1
12,1,roberto,pruebas,12345,bogota,,23112879,ka@igc.edu.co,432432h,1
13,1,roberto,pruebas,12345,bogota,,23112879,ka@igc.edu.co,432432h,1
14,1,roberto,pruebas,12345,bogota,,23112879,ka@igc.edu.co,432432h,1
15,1,roberto,pruebas,12345,bogota,,23112879,ka@igc.edu.co,432432h,1
16,1,roberto,pruebas,12345,bogota,,23112879,ka@igc.edu.co,432432h,1
17,1,roberto,pruebas,12345,bogota,,23112879,ka@igc.edu.co,432432h,1
18,1,roberto,pruebas,12345,bogota,,23112879,ka@igc.edu.co,432432h,1
19,1,roberto,pruebas,12345,bogota,,23112879,ka@igc.edu.co,432432h,1
20,1,roberto,pruebas,12345,bogota,,23112879,ka@igc.edu.co,432432h,1
21,1,roberto,pruebas,12345,bogota,,23112879,ka@igc.edu.co,432432h,1
22,1,roberto,pruebas,12345,bogota,,23112879,ka@igc.edu.co,432432h,1
23,1,roberto,pruebas,12345,bogota,,23112879,ka@igc.edu.co,432432h,1
24,1,roberto,pruebas,12345,bogota,,23112879,ka@igc.edu.co,432432h,1
25,1,roberto,pruebas,12345,bogota,,23112879,ka@igc.edu.co,432432h,1
26,1,roberto,pruebas,12345,bogota,,23112879,ka@igc.edu.co,432432h,1
27,1,roberto,pruebas,12345,bogota,,23112879,ka@igc.edu.co,432432h,1
28,1,roberto,pruebas,12345,bogota,,23112879,ka@igc.edu.co,432432h,1
29,1,roberto,pruebas,12345,bogota,,23112879,ka@igc.edu.co,432432h,1
30,1,roberto,pruebas,12345,bogota,,23112879,ka@igc.edu.co,432432h,1
31,1,roberto,pruebas,12345,bogota,,23112879,ka@igc.edu.co,432432h,1
32,1,roberto,pruebas,12345,bogota,,23112879,ka@igc.edu.co,432432h,1
33,1,roberto,pruebas,12345,bogota,,23112879,ka@igc.edu.co,432432h,1
34,1,roberto,pruebas,12345,bogota,,23112879,ka@igc.edu.co,432432h,1
35,1,roberto,pruebas,12345,bogota,,23112879,ka@igc.edu.co,432432h,1
36,1,roberto,pruebas,12345,bogota,,23112879,ka@igc.edu.co,432432h,1
37,1,roberto,pruebas,12345,bogota,,23112879,ka@igc.edu.co,432432h,1
38,1,roberto,pruebas,12345,bogota,,23112879,ka@igc.edu.co,432432h,1
39,1,roberto,pruebas,12345,bogota,,23112879,ka@igc.edu.co,432432h,1
40,1,roberto,pruebas,12345,bogota,,23112879,ka@igc.edu.co,432432h,1
41,1,roberto,pruebas,12345,bogota,,23112879,ka@igc.edu.co,432432h,1
42,1,roberto,pruebas,12345,bogota,,23112879,ka@igc.edu.co,432432h,1
43,1,roberto,pruebas,12345,bogota,,23112879,ka@igc.edu.co,432432h,1
44,1,roberto,pruebas,12345,bogota,,23112879,ka@igc.edu.co,432432h,1
45,1,roberto,pruebas,12345,bogota,,23112879,ka@igc.edu.co,432432h,1
46,1,roberto,pruebas,12345,bogota,,23112879,ka@igc.edu.co,432432h,1
47,1,roberto,pruebas,12345,bogota,,23112879,ka@igc.edu.co,432432h,1
