id,estado,nombres,apellidos,identificacion,fecha_expedicion,lugar_expedicion,fecha_nacimiento,telefono,direccion,ocupacion,celular,correo,tarjeta_profesional,apoderado_id_id,barrio_id_id,ciudad_nacimiento_id_id,escolaridad_id_id,estado_civil_id_id,estrato_socioeconomico_id_id,genero_id_id,grupo_etnico_id_id,perfil_id_id,sexo_id_id,tipo_cargo_id_id,tipo_discapacidad_id_id,tipo_documento_id_id,tipo_persona_id_id,tipo_vivienda_id_id,usuarioId_id
1,1,Julio,urrego,120423098,,,,,,,32122183723,jairo@ugc.edu.co,,11,,,,,1,1,,,1,,,1,,,
2,1,camilo,rios,2022101,2022-11-17,bogota,1999-12-08,,,,32122183723,jairo@ugc.edu.co,,,,3,,,,,,,,,,1,,,
6,1,Felipe,Villamizar,1010074595,,,,,,,32122183723,jairo@ugc.edu.co,,17,,,,,1,1,,,1,,,1,,,
8,1,jairo,urrego,120423098,,,,,,,32122183723,jairo@ugc.edu.co,,17,,,,,1,1,,,1,,,1,,,
9,1,jairo,urrego,120423098,,,,,,,32122183723,jairo@ugc.edu.co,,17,,,,,1,1,,,1,,,1,,,
10,1,camilo,rios,2022101,2022-11-17,bogota,1999-12-08,,,,32122183723,jairo@ugc.edu.co,,,,3,,,,,,,,,,1,,,
11,1,jairo,urrego,120423098,,,,,,,32122183723,jairo@ugc.edu.co,,18,,,,,1,1,,,1,,,1,,,
12,1,camilo,rios,2022101,2022-11-17,bogota,1999-12-08,,,,32122183723,jairo@ugc.edu.co,,,,3,,,,,,,,,,1,,,
13,1,jairo,urrego,120423098,,,,,,,32122183723,jairo@ugc.edu.co,,19,,,,,1,1,,,1,,,1,,,
14,1,camilo,rios,2022101,2022-11-17,bogota,1999-12-08,,,,32122183723,jairo@ugc.edu.co,,,,3,,,,,,,,,,1,,,
15,1,jairo,urrego,120423098,,,,,,,32122183723,jairo@ugc.edu.co,,20,,,,,1,1,,,1,,,1,,,
16,1,camilo,rios,2022101,2022-11-17,bogota,1999-12-08,,,,32122183723,jairo@ugc.edu.co,,,,3,,,,,,,,,,1,,,
17,1,jairo,urrego,120423098,,,,,,,32122183723,jairo@ugc.edu.co,,21,,,,,1,1,,,1,,,1,,,
18,1,camilo,rios,2022101,2022-11-17,bogota,1999-12-08,,,,32122183723,jairo@ugc.edu.co,,,,3,,,,,,,,,,1,,,
19,1,jairo,urrego,120423098,,,,,,,32122183723,jairo@ugc.edu.co,,22,,,,,1,1,,,1,,,1,,,
20,1,camilo,rios,2022101,2022-11-17,bogota,1999-12-08,,,,32122183723,jairo@ugc.edu.co,,,,3,,,,,,,,,,1,,,
21,1,jairo,urrego,120423098,,,,,,,32122183723,jairo@ugc.edu.co,,23,,,,,1,1,,,1,,,1,,,
22,1,camilo,rios,2022101,2022-11-17,bogota,1999-12-08,,,,32122183723,jairo@ugc.edu.co,,,,3,,,,,,,,,,1,,,
23,1,jairo,urrego,120423098,,,,,,,32122183723,jairo@ugc.edu.co,,24,,,,,1,1,,,1,,,1,,,
24,1,camilo,rios,2022101,2022-11-17,bogota,1999-12-08,,,,32122183723,jairo@ugc.edu.co,,,,3,,,,,,,,,,1,,,
25,1,jairo,urrego,120423098,,,,,,,32122183723,jairo@ugc.edu.co,,25,,,,,1,1,,,1,,,1,,,
26,1,camilo,rios,2022101,2022-11-17,bogota,1999-12-08,,,,32122183723,jairo@ugc.edu.co,,,,3,,,,,,,,,,1,,,
27,1,jairo,urrego,120423098,,,,,,,32122183723,jairo@ugc.edu.co,,26,,,,,1,1,,,1,,,1,,,
28,1,camilo,rios,2022101,2022-11-17,bogota,1999-12-08,,,,32122183723,jairo@ugc.edu.co,,,,3,,,,,,,,,,1,,,
29,1,jairo,urrego,120423098,,,,,,,32122183723,jairo@ugc.edu.co,,27,,,,,1,1,,,1,,,1,,,
30,1,camilo,rios,2022101,2022-11-17,bogota,1999-12-08,,,,32122183723,jairo@ugc.edu.co,,,,3,,,,,,,,,,1,,,
31,1,jairo,urrego,120423098,,,,,,,32122183723,jairo@ugc.edu.co,,28,,,,,1,1,,,1,,,1,,,
32,1,camilo,rios,2022101,2022-11-17,bogota,1999-12-08,,,,32122183723,jairo@ugc.edu.co,,,,3,,,,,,,,,,1,,,
33,1,jairo,urrego,120423098,,,,,,,32122183723,jairo@ugc.edu.co,,29,,,,,1,1,,,1,,,1,,,
34,1,camilo,rios,2022101,2022-11-17,bogota,1999-12-08,,,,32122183723,jairo@ugc.edu.co,,,,3,,,,,,,,,,1,,,
35,1,jairo,urrego,120423098,,,,,,,32122183723,jairo@ugc.edu.co,,30,,,,,1,1,,,1,,,1,,,
36,1,camilo,rios,2022101,2022-11-17,bogota,1999-12-08,,,,32122183723,jairo@ugc.edu.co,,,,3,,,,,,,,,,1,,,
37,1,jairo,urrego,120423098,,,,,,,32122183723,jairo@ugc.edu.co,,31,,,,,1,1,,,1,,,1,,,
38,1,camilo,rios,2022101,2022-11-17,bogota,1999-12-08,,,,32122183723,jairo@ugc.edu.co,,,,3,,,,,,,,,,1,,,
39,1,jairo,urrego,120423098,,,,,,,32122183723,jairo@ugc.edu.co,,32,,,,,1,1,,,1,,,1,,,
40,1,camilo,rios,2022101,2022-11-17,bogota,1999-12-08,,,,32122183723,jairo@ugc.edu.co,,,,3,,,,,,,,,,1,,,
41,1,jairo,urrego,120423098,,,,,,,32122183723,jairo@ugc.edu.co,,33,,,,,1,1,,,1,,,1,,,
42,1,camilo,rios,2022101,2022-11-17,bogota,1999-12-08,,,,32122183723,jairo@ugc.edu.co,,,,3,,,,,,,,,,1,,,
43,1,jairo,urrego,120423098,,,,,,,32122183723,jairo@ugc.edu.co,,34,,,,,1,1,,,1,,,1,,,
44,1,camilo,rios,2022101,2022-11-17,bogota,1999-12-08,,,,32122183723,jairo@ugc.edu.co,,,,3,,,,,,,,,,1,,,
45,1,jairo,urrego,120423098,,,,,,,32122183723,jairo@ugc.edu.co,,35,,,,,1,1,,,1,,,1,,,
46,1,camilo,rios,2022101,2022-11-17,bogota,1999-12-08,,,,32122183723,jairo@ugc.edu.co,,,,3,,,,,,,,,,1,,,
47,1,jairo,urrego,120423098,,,,,,,32122183723,jairo@ugc.edu.co,,36,,,,,1,1,,,1,,,1,,,
48,1,camilo,rios,2022101,2022-11-17,bogota,1999-12-08,,,,32122183723,jairo@ugc.edu.co,,,,3,,,,,,,,,,1,,,
49,1,jairo,urrego,120423098,,,,,,,32122183723,jairo@ugc.edu.co,,37,,,,,1,1,,,1,,,1,,,
50,1,camilo,rios,2022101,2022-11-17,bogota,1999-12-08,,,,32122183723,jairo@ugc.edu.co,,,,3,,,,,,,,,,1,,,
51,1,jairo,urrego,120423098,,,,,,,32122183723,jairo@ugc.edu.co,,38,,,,,1,1,,,1,,,1,,,
52,1,camilo,rios,2022101,2022-11-17,bogota,1999-12-08,,,,32122183723,jairo@ugc.edu.co,,,,3,,,,,,,,,,1,,,
53,1,jairo,urrego,120423098,,,,,,,32122183723,jairo@ugc.edu.co,,39,,,,,1,1,,,1,,,1,,,
54,1,camilo,rios,2022101,2022-11-17,bogota,1999-12-08,,,,32122183723,jairo@ugc.edu.co,,,,3,,,,,,,,,,1,,,
55,1,jairo,urrego,120423098,,,,,,,32122183723,jairo@ugc.edu.co,,40,,,,,1,1,,,1,,,1,,,
56,1,camilo,rios,2022101,2022-11-17,bogota,1999-12-08,,,,32122183723,jairo@ugc.edu.co,,,,3,,,,,,,,,,1,,,
57,1,jairo,urrego,120423098,,,,,,,32122183723,jairo@ugc.edu.co,,41,,,,,1,1,,,1,,,1,,,
58,1,camilo,rios,2022101,2022-11-17,bogota,1999-12-08,,,,32122183723,jairo@ugc.edu.co,,,,3,,,,,,,,,,1,,,
59,1,jairo,urrego,120423098,,,,,,,32122183723,jairo@ugc.edu.co,,42,,,,,1,1,,,1,,,1,,,
60,1,camilo,rios,2022101,2022-11-17,bogota,1999-12-08,,,,32122183723,jairo@ugc.edu.co,,,,3,,,,,,,,,,1,,,
61,1,jairo,urrego,120423098,,,,,,,32122183723,jairo@ugc.edu.co,,43,,,,,1,1,,,1,,,1,,,
62,1,camilo,rios,2022101,2022-11-17,bogota,1999-12-08,,,,32122183723,jairo@ugc.edu.co,,,,3,,,,,,,,,,1,,,
63,1,jairo,urrego,120423098,,,,,,,32122183723,jairo@ugc.edu.co,,44,,,,,1,1,,,1,,,1,,,
64,1,camilo,rios,2022101,2022-11-17,bogota,1999-12-08,,,,32122183723,jairo@ugc.edu.co,,,,3,,,,,,,,,,1,,,
65,1,jairo,urrego,120423098,,,,,,,32122183723,jairo@ugc.edu.co,,45,,,,,1,1,,,1,,,1,,,
66,1,camilo,rios,2022101,2022-11-17,bogota,1999-12-08,,,,32122183723,jairo@ugc.edu.co,,,,3,,,,,,,,,,1,,,
67,1,jairo,urrego,120423098,,,,,,,32122183723,jairo@ugc.edu.co,,46,,,,,1,1,,,1,,,1,,,
68,1,camilo,rios,2022101,2022-11-17,bogota,1999-12-08,,,,32122183723,jairo@ugc.edu.co,,,,3,,,,,,,,,,1,,,
69,1,jairo,urrego,120423098,,,,,,,32122183723,jairo@ugc.edu.co,,47,,,,,1,1,,,1,,,1,,,
70,1,camilo,rios,2022101,2022-11-17,bogota,1999-12-08,,,,32122183723,jairo@ugc.edu.co,,,,3,,,,,,,,,,1,,,
71,1,jairo,urrego,120423098,,,,,,,32122183723,jairo@ugc.edu.co,,48,,,,,1,1,,,1,,,1,,,
72,1,camilo,rios,2022101,2022-11-17,bogota,1999-12-08,,,,32122183723,jairo@ugc.edu.co,,,,3,,,,,,,,,,1,,,
73,1,jairo,urrego,120423098,,,,,,,32122183723,jairo@ugc.edu.co,,49,,,,,1,1,,,1,,,1,,,
74,1,camilo,rios,2022101,2022-11-17,bogota,1999-12-08,,,,32122183723,jairo@ugc.edu.co,,,,3,,,,,,,,,,1,,,
75,1,jairo,urrego,120423098,,,,,,,32122183723,jairo@ugc.edu.co,,50,,,,,1,1,,,1,,,1,,,
76,1,camilo,rios,2022101,2022-11-17,bogota,1999-12-08,,,,32122183723,jairo@ugc.edu.co,,,,3,,,,,,,,,,1,,,
77,1,jairo,urrego,120423098,,,,,,,32122183723,jairo@ugc.edu.co,,51,,,,,1,1,,,1,,,1,,,
78,1,camilo,rios,2022101,2022-11-17,bogota,1999-12-08,,,,32122183723,jairo@ugc.edu.co,,,,3,,,,,,,,,,1,,,
79,1,jairo,urrego,120423098,,,,,,,32122183723,jairo@ugc.edu.co,,52,,,,,1,1,,,1,,,1,,,
80,1,camilo,rios,2022101,2022-11-17,bogota,1999-12-08,,,,32122183723,jairo@ugc.edu.co,,,,3,,,,,,,,,,1,,,
81,1,jairo,urrego,120423098,,,,,,,32122183723,jairo@ugc.edu.co,,53,,,,,1,1,,,1,,,1,,,
82,1,camilo,rios,2022101,2022-11-17,bogota,1999-12-08,,,,32122183723,jairo@ugc.edu.co,,,,3,,,,,,,,,,1,,,
83,1,jairo,urrego,120423098,,,,,,,32122183723,jairo@ugc.edu.co,,54,,,,,1,1,,,1,,,1,,,
84,1,camilo,rios,2022101,2022-11-17,bogota,1999-12-08,,,,32122183723,jairo@ugc.edu.co,,,,3,,,,,,,,,,1,,,
85,1,jairo,urrego,120423098,,,,,,,32122183723,jairo@ugc.edu.co,,55,,,,,1,1,,,1,,,1,,,
86,1,camilo,rios,2022101,2022-11-17,bogota,1999-12-08,,,,32122183723,jairo@ugc.edu.co,,,,3,,,,,,,,,,1,,,
87,1,jairo,urrego,120423098,,,,,,,32122183723,jairo@ugc.edu.co,,56,,,,,1,1,,,1,,,1,,,
88,1,camilo,rios,2022101,2022-11-17,bogota,1999-12-08,,,,32122183723,jairo@ugc.edu.co,,,,3,,,,,,,,,,1,,,
89,1,jairo,urrego,120423098,,,,,,,32122183723,jairo@ugc.edu.co,,57,,,,,1,1,,,1,,,1,,,
90,1,camilo,rios,2022101,2022-11-17,bogota,1999-12-08,,,,32122183723,jairo@ugc.edu.co,,,,3,,,,,,,,,,1,,,
91,1,jairo,urrego,120423098,,,,,,,32122183723,jairo@ugc.edu.co,,58,,,,,1,1,,,1,,,1,,,
92,1,camilo,rios,2022101,2022-11-17,bogota,1999-12-08,,,,32122183723,jairo@ugc.edu.co,,,,3,,,,,,,,,,1,,,
93,1,jairo,urrego,120423098,,,,,,,32122183723,jairo@ugc.edu.co,,59,,,,,1,1,,,1,,,1,,,
94,1,camilo,rios,2022101,2022-11-17,bogota,1999-12-08,,,,32122183723,jairo@ugc.edu.co,,,,3,,,,,,,,,,1,,,
95,1,jairo,urrego,120423098,,,,,,,32122183723,jairo@ugc.edu.co,,60,,,,,1,1,,,1,,,1,,,
96,1,camilo,rios,2022101,2022-11-17,bogota,1999-12-08,,,,32122183723,jairo@ugc.edu.co,,,,3,,,,,,,,,,1,,,
97,1,jairo,urrego,120423098,,,,,,,32122183723,jairo@ugc.edu.co,,61,,,,,1,1,,,1,,,1,,,
98,1,camilo,rios,2022101,2022-11-17,bogota,1999-12-08,,,,32122183723,jairo@ugc.edu.co,,,,3,,,,,,,,,,1,,,
99,1,jairo,urrego,120423098,,,,,,,32122183723,jairo@ugc.edu.co,,62,,,,,1,1,,,1,,,1,,,
100,1,camilo,rios,2022101,2022-11-17,bogota,1999-12-08,,,,32122183723,jairo@ugc.edu.co,,,,3,,,,,,,,,,1,,,
101,1,jairo,urrego,120423098,,,,,,,32122183723,jairo@ugc.edu.co,,63,,,,,1,1,,,1,,,1,,,
102,1,camilo,rios,2022101,2022-11-17,bogota,1999-12-08,,,,32122183723,jairo@ugc.edu.co,,,,3,,,,,,,,,,1,,,
103,1,jairo,urrego,120423098,,,,,,,32122183723,jairo@ugc.edu.co,,64,,,,,1,1,,,1,,,1,,,
104,1,camilo,rios,2022101,2022-11-17,bogota,1999-12-08,,,,32122183723,jairo@ugc.edu.co,,,,3,,,,,,,,,,1,,,
105,1,jairo,urrego,120423098,,,,,,,32122183723,jairo@ugc.edu.co,,65,,,,,1,1,,,1,,,1,,,
106,1,camilo,rios,2022101,2022-11-17,bogota,1999-12-08,,,,32122183723,jairo@ugc.edu.co,,,,3,,,,,,,,,,1,,,
107,1,jairo,urrego,120423098,,,,,,,32122183723,jairo@ugc.edu.co,,66,,,,,1,1,,,1,,,1,,,
108,1,camilo,rios,2022101,2022-11-17,bogota,1999-12-08,,,,32122183723,jairo@ugc.edu.co,,,,3,,,,,,,,,,1,,,
109,1,jairo,urrego,120423098,,,,,,,32122183723,jairo@ugc.edu.co,,67,,,,,1,1,,,1,,,1,,,
110,1,camilo,rios,2022101,2022-11-17,bogota,1999-12-08,,,,32122183723,jairo@ugc.edu.co,,,,3,,,,,,,,,,1,,,
111,1,jairo,urrego,120423098,,,,,,,32122183723,jairo@ugc.edu.co,,68,,,,,1,1,,,1,,,1,,,
112,1,camilo,rios,2022101,2022-11-17,bogota,1999-12-08,,,,32122183723,jairo@ugc.edu.co,,,,3,,,,,,,,,,1,,,
113,1,jairo,urrego,120423098,,,,,,,32122183723,jairo@ugc.edu.co,,69,,,,,1,1,,,1,,,1,,,
