id,estado,nombres,apellidos,identificacion,fecha_expedicion,lugar_expedicion,fecha_nacimiento,telefono,direccion,celular,correo,apoderado_id_id,ciudad_nacimiento_id_id,estrato_socioeconomico_id_id,genero_id_id,sexo_id_id,tipo_documento_id_id,tipo_persona_id_id
3,1,Jairo Miller,urrego,120423098,,,,,,32122183723,jairo@ugc.edu.co,12345,,1,1,1,1,
4,1,camilo Miller,rios,2022101,2022-11-17,bogota,1999-12-08,,,32122183723,jairo@ugc.edu.co,12345,3,,,,1,
5,1,jairo,urrego,120423098,,,,,,32122183723,jairo@ugc.edu.co,12345,,1,1,1,1,
6,1,camilo,rios,2022101,2022-11-17,bogota,1999-12-08,,,32122183723,jairo@ugc.edu.co,12345,3,,,,1,
7,1,jairo,urrego,120423098,,,,,,32122183723,jairo@ugc.edu.co,12345,,1,1,1,1,
8,1,camilo,rios,2022101,2022-11-17,bogota,1999-12-08,,,32122183723,jairo@ugc.edu.co,12345,3,,,,1,
9,1,jairo,urrego,120423098,,,,,,32122183723,jairo@ugc.edu.co,12345,,1,1,1,1,
10,1,camilo,rios,2022101,2022-11-17,bogota,1999-12-08,,,32122183723,jairo@ugc.edu.co,12345,3,,,,1,
11,1,jairo,urrego,120423098,,,,,,32122183723,jairo@ugc.edu.co,12345,,1,1,1,1,
12,1,camilo,rios,2022101,2022-11-17,bogota,1999-12-08,,,32122183723,jairo@ugc.edu.co,12345,3,,,,1,
13,1,jairo,urrego,120423098,,,,,,32122183723,jairo@ugc.edu.co,12345,,1,1,1,1,
14,1,camilo,rios,2022101,2022-11-17,bogota,1999-12-08,,,32122183723,jairo@ugc.edu.co,12345,3,,,,1,
15,1,jairo,urrego,120423098,,,,,,32122183723,jairo@ugc.edu.co,12345,,1,1,1,1,
16,1,camilo,rios,2022101,2022-11-17,bogota,1999-12-08,,,32122183723,jairo@ugc.edu.co,12345,3,,,,1,
17,1,jairo,urrego,120423098,,,,,,32122183723,jairo@ugc.edu.co,12345,,1,1,1,1,
18,1,camilo,rios,2022101,2022-11-17,bogota,1999-12-08,,,32122183723,jairo@ugc.edu.co,12345,3,,,,1,
19,1,jairo,urrego,120423098,,,,,,32122183723,jairo@ugc.edu.co,12345,,1,1,1,1,
20,1,camilo,rios,2022101,2022-11-17,bogota,1999-12-08,,,32122183723,jairo@ugc.edu.co,12345,3,,,,1,
21,1,jairo,urrego,120423098,,,,,,32122183723,jairo@ugc.edu.co,12345,,1,1,1,1,
22,1,camilo,rios,2022101,2022-11-17,bogota,1999-12-08,,,32122183723,jairo@ugc.edu.co,12345,3,,,,1,
23,1,jairo,urrego,120423098,,,,,,32122183723,jairo@ugc.edu.co,12345,,1,1,1,1,
24,1,camilo,rios,2022101,2022-11-17,bogota,1999-12-08,,,32122183723,jairo@ugc.edu.co,12345,3,,,,1,
25,1,jairo,urrego,120423098,,,,,,32122183723,jairo@ugc.edu.co,12345,,1,1,1,1,
26,1,camilo,rios,2022101,2022-11-17,bogota,1999-12-08,,,32122183723,jairo@ugc.edu.co,12345,3,,,,1,
27,1,jairo,urrego,120423098,,,,,,32122183723,jairo@ugc.edu.co,12345,,1,1,1,1,
28,1,camilo,rios,2022101,2022-11-17,bogota,1999-12-08,,,32122183723,jairo@ugc.edu.co,12345,3,,,,1,
29,1,jairo,urrego,120423098,,,,,,32122183723,jairo@ugc.edu.co,12345,,1,1,1,1,
30,1,camilo,rios,2022101,2022-11-17,bogota,1999-12-08,,,32122183723,jairo@ugc.edu.co,12345,3,,,,1,
31,1,jairo,urrego,120423098,,,,,,32122183723,jairo@ugc.edu.co,12345,,1,1,1,1,
32,1,camilo,rios,2022101,2022-11-17,bogota,1999-12-08,,,32122183723,jairo@ugc.edu.co,12345,3,,,,1,
