id,action_time,object_id,object_repr,action_flag,change_message,content_type_id,user_id
1,2022-11-28 14:37:05.745961,1,Colombia,1,"[{""added"": {}}]",13,1
2,2022-11-28 14:37:17.447566,1,Amazonas,1,"[{""added"": {}}]",23,1
3,2022-11-28 14:37:25.714327,2,Arauca,1,"[{""added"": {}}]",23,1
4,2022-11-28 14:37:35.605668,3,Cundinamarca,1,"[{""added"": {}}]",23,1
5,2022-11-28 14:37:57.656837,1,Leticia,1,"[{""added"": {}}]",9,1
6,2022-11-28 14:38:05.249921,2,Medellin,1,"[{""added"": {}}]",9,1
7,2022-11-28 14:38:11.148251,3,Bogota,1,"[{""added"": {}}]",9,1
8,2022-11-28 14:38:27.675573,1,En espera de revisión,1,"[{""added"": {}}]",10,1
9,2022-11-28 14:38:30.625199,2,Aprobada,1,"[{""added"": {}}]",10,1
10,2022-11-28 14:38:39.634918,3,Rechazada,1,"[{""added"": {}}]",10,1
11,2022-11-28 14:38:47.629531,4,Falta de informacion,1,"[{""added"": {}}]",10,1
12,2022-11-28 14:38:51.570170,5,Remitida,1,"[{""added"": {}}]",10,1
13,2022-11-28 14:39:07.441672,1,1,1,"[{""added"": {}}]",11,1
14,2022-11-28 14:39:10.562014,2,2,1,"[{""added"": {}}]",11,1
15,2022-11-28 14:39:18.323606,1,Masculino,1,"[{""added"": {}}]",12,1
16,2022-11-28 14:39:22.691438,2,Femenino,1,"[{""added"": {}}]",12,1
17,2022-11-28 14:39:31.118924,1,Hombre,1,"[{""added"": {}}]",15,1
18,2022-11-28 14:39:34.705982,2,Mujer,1,"[{""added"": {}}]",15,1
19,2022-11-28 14:39:39.543630,1,Convocante,1,"[{""added"": {}}]",16,1
20,2022-11-28 14:39:43.622995,2,Convocado,1,"[{""added"": {}}]",16,1
21,2022-11-28 14:39:49.810339,1,Cedula Ciudadania,1,"[{""added"": {}}]",17,1
22,2022-11-28 14:40:03.634143,1,Natural,1,"[{""added"": {}}]",18,1
23,2022-11-28 14:40:10.520930,2,Juridica,1,"[{""added"": {}}]",18,1
